Last login: Thu Feb 20 14:40:20 on ttys000
maclab-114:~ nicho050$ ps
  PID TTY           TIME CMD
83899 ttys000    0:00.01 -bash
maclab-114:~ nicho050$ ps x
  PID   TT  STAT      TIME COMMAND
maclab-114:Documents nicho050$ bg %1
-bash: bg: %1: no such job
maclab-114:Documents nicho050$ xed -c TextEdit file.txt
bg %1
^C
maclab-114:Documents nicho050$ xed -c TextEdit file.txt
^Z
[1]+  Stopped                 xed -c TextEdit file.txt
maclab-114:Documents nicho050$ bg %1
[1]+ xed -c TextEdit file.txt &

[1]+  Stopped                 xed -c TextEdit file.txt
maclab-114:Documents nicho050$ xed -c TextEdit file.txt &
[2] 84010
maclab-114:Documents nicho050$ kill -1 84010

[2]+  Stopped                 xed -c TextEdit file.txt
maclab-114:Documents nicho050$ xed -c TextEdit file.txt &
[3] 84011
[2]   Hangup: 1               xed -c TextEdit file.txt
maclab-114:Documents nicho050$ kill -INT 84011

[3]+  Stopped                 xed -c TextEdit file.txt
maclab-114:Documents nicho050$ xed -c TextEdit file.txt &
[4] 84012
[3]   Interrupt: 2            xed -c TextEdit file.txt
maclab-114:Documents nicho050$ kill -SIGINT 84012

[4]+  Stopped                 xed -c TextEdit file.txt
maclab-114:Documents nicho050$ xed -c TextEdit file.txt &
[5] 84013
[4]   Interrupt: 2            xed -c TextEdit file.txt
maclab-114:Documents nicho050$ xed -c TextEdit file.txt &
[6] 84014

[5]+  Stopped                 xed -c TextEdit file.txt
maclab-114:Documents nicho050$ killall xed -c TextEdit file.txt
[1]   Terminated: 15          xed -c TextEdit file.txt
[5]-  Terminated: 15          xed -c TextEdit file.txt
[6]+  Terminated: 15          xed -c TextEdit file.txt
maclab-114:Documents nicho050$ exit
logout
Saving session...
...copying shared history...
...saving history...truncating history files...
...completed.

[Process completed]

